student_id,timestamp,day_of_week,hour_of_day,activity_type,time_spent_minutes,quiz_score,assignment_submission,streak_days,quests_completed_today,xp_earned_today,cumulative_xp,module_type
adam37,2025-01-22 14:50:25,Wednesday,14,Quiz,20,86.0,0,1,1,460.0,460.0,Programming
adam37,2025-01-27 01:48:36,Monday,1,Study,99,0.0,0,1,1,148.5,608.5,Science
adam37,2025-01-29 12:07:58,Wednesday,12,Study,33,0.0,0,2,1,49.5,658.0,History
adam37,2025-02-22 18:19:05,Saturday,18,Study,20,0.0,0,1,1,30.0,688.0,Math
adam37,2025-03-01 00:41:21,Saturday,0,Reflection,15,0.0,0,1,1,22.5,710.5,Programming
adam37,2025-03-05 22:40:41,Wednesday,22,Study,96,0.0,0,1,1,144.0,854.5,History
adam37,2025-03-23 13:24:40,Sunday,13,Reflection,10,0.0,0,1,1,15.0,869.5,Writing
adam37,2025-03-26 04:39:24,Wednesday,4,Study,118,0.0,0,2,1,177.0,1046.5,Math
adam37,2025-03-29 04:45:19,Saturday,4,Quiz,22,96.0,0,1,1,513.0,1559.5,Writing
adam37,2025-04-08 08:37:12,Tuesday,8,Quiz,24,59.0,0,1,1,331.0,1890.5,Writing
adam37,2025-04-22 07:41:24,Tuesday,7,Reflection,18,0.0,0,1,1,27.0,1917.5,Science
adam37,2025-04-25 01:43:59,Friday,1,Quiz,20,71.0,0,2,1,385.0,2302.5,History
adam37,2025-04-26 05:21:22,Saturday,5,Assignment,66,82.0,1,3,1,509.0,2811.5,Science
adam37,2025-05-05 14:19:58,Monday,14,Study,55,0.0,0,1,2,106.5,2894.0,Writing
adam37,2025-05-05 16:02:59,Monday,16,Reflection,16,0.0,0,2,2,106.5,2918.0,Programming
adam37,2025-05-08 12:30:36,Thursday,12,Quiz,29,65.0,0,3,1,368.5,3286.5,Science
adamolsen,2025-01-25 17:39:06,Saturday,17,Quiz,13,92.0,0,1,1,479.5,479.5,Writing
adamolsen,2025-01-26 14:07:04,Sunday,14,Study,74,0.0,0,2,1,111.0,590.5,Science
adamolsen,2025-01-31 10:08:51,Friday,10,Quiz,21,81.0,0,1,1,436.5,1027.0,Math
adamolsen,2025-02-11 00:57:58,Tuesday,0,Study,119,0.0,0,1,1,178.5,1205.5,Math
adamolsen,2025-02-12 05:36:29,Wednesday,5,Reflection,13,0.0,0,2,1,19.5,1225.0,Math
adamolsen,2025-02-14 14:56:05,Friday,14,Study,97,0.0,0,3,1,145.5,1370.5,Science
adamolsen,2025-02-24 12:09:25,Monday,12,Forum,11,0.0,0,1,1,16.5,1387.0,Programming
adamolsen,2025-02-25 08:43:25,Tuesday,8,Study,45,0.0,0,2,1,67.5,1454.5,Writing
adamolsen,2025-03-06 04:41:40,Thursday,4,Study,98,0.0,0,1,1,147.0,1601.5,Writing
adamolsen,2025-03-12 05:11:25,Wednesday,5,Reflection,19,0.0,0,1,1,28.5,1630.0,Programming
adamolsen,2025-03-16 00:26:33,Sunday,0,Quiz,29,62.0,0,1,1,353.5,1983.5,Writing
adamolsen,2025-03-20 04:31:05,Thursday,4,Reflection,16,0.0,0,1,1,24.0,2007.5,Math
adamolsen,2025-03-22 09:26:55,Saturday,9,Study,46,0.0,0,2,1,69.0,2076.5,Science
adamolsen,2025-03-25 22:38:25,Tuesday,22,Assignment,166,65.0,1,1,1,574.0,2650.5,History
adamolsen,2025-03-26 04:35:02,Wednesday,4,Study,26,0.0,0,2,1,39.0,2689.5,Math
adamolsen,2025-04-22 22:22:23,Tuesday,22,Study,57,0.0,0,1,1,85.5,2775.0,Science
adamolsen,2025-04-23 07:48:22,Wednesday,7,Assignment,228,77.0,1,2,1,727.0,3502.0,Math
adamolsen,2025-04-28 14:36:55,Monday,14,Assignment,218,69.0,1,1,2,1341.0,4174.0,Programming
adamolsen,2025-04-28 21:15:23,Monday,21,Assignment,166,84.0,1,2,2,1341.0,4843.0,Math
adamolsen,2025-05-16 09:48:17,Friday,9,Forum,9,0.0,0,1,1,13.5,4856.5,Math
aguilarralph,2025-01-17 13:24:45,Friday,13,Study,78,0.0,0,1,1,117.0,117.0,Math
aguilarralph,2025-02-09 18:10:10,Sunday,18,Study,119,0.0,0,1,1,178.5,295.5,Programming
aguilarralph,2025-02-28 10:46:00,Friday,10,Study,47,0.0,0,1,1,70.5,366.0,Programming
aguilarralph,2025-03-04 01:30:46,Tuesday,1,Quiz,28,98.0,0,1,1,532.0,898.0,Writing
aguilarralph,2025-03-11 23:58:51,Tuesday,23,Quiz,19,95.0,0,1,1,503.5,1401.5,History
aguilarralph,2025-03-17 04:58:55,Monday,4,Quiz,16,78.0,0,1,1,414.0,1815.5,Math
aguilarralph,2025-03-28 10:23:28,Friday,10,Assignment,120,89.0,1,1,1,625.0,2440.5,Math
aguilarralph,2025-04-02 04:45:09,Wednesday,4,Quiz,17,82.0,0,1,1,435.5,2876.0,Writing
aguilarralph,2025-04-07 15:46:24,Monday,15,Study,104,0.0,0,1,1,156.0,3032.0,Programming
aguilarralph,2025-04-10 18:51:15,Thursday,18,Study,34,0.0,0,1,1,51.0,3083.0,Science
aguilarralph,2025-05-01 15:51:28,Thursday,15,Reflection,16,0.0,0,1,1,24.0,3107.0,Science
aguilarralph,2025-05-02 00:22:04,Friday,0,Quiz,12,83.0,0,2,2,463.0,3540.0,Math
aguilarralph,2025-05-02 14:40:41,Friday,14,Forum,20,0.0,0,3,2,463.0,3570.0,Math
aguilarralph,2025-05-03 05:44:38,Saturday,5,Assignment,77,82.0,1,4,1,525.5,4095.5,Science
aguilarralph,2025-05-05 10:54:30,Monday,10,Study,94,0.0,0,5,2,312.0,4236.5,Writing
